DATE,confirmed,death,released,candidate,negative,growth
2020-01-09,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,0
2020-01-21,1,0,0,0,0,0.0001
2020-01-22,1,0,0,0,0,0
2020-01-23,1,0,0,0,0,0
2020-01-24,2,0,0,0,0,0.0001
2020-01-25,2,0,0,0,0,0
2020-01-26,2,0,0,0,0,0
2020-01-27,4,0,0,57,0,0.0002
2020-01-28,4,0,0,57,0,0
2020-01-29,4,0,0,183,0,0
2020-01-30,7,0,0,240,0,0.0003
2020-01-31,11,0,0,298,240,0.0004
2020-02-01,12,0,0,371,289,0.0001
2020-02-02,15,0,0,414,327,0.0003
2020-02-03,15,0,0,475,414,0
2020-02-04,16,0,0,591,462,0.0001
2020-02-05,21,0,1,696,522,0.0005
2020-02-06,24,0,2,862,693,0.0003
2020-02-07,24,0,2,1328,1001,0
2020-02-08,24,0,2,2073,1134,0
2020-02-09,27,0,3,2571,1683,0.0003
2020-02-10,27,0,4,3083,2552,0
2020-02-11,28,0,4,4297,3535,0.0001
2020-02-12,28,0,7,5596,4811,0
2020-02-13,28,0,7,6483,5921,0
2020-02-14,28,0,7,7214,6679,0
2020-02-15,28,0,9,7491,6853,0
2020-02-16,29,0,9,8132,7647,0.0001
2020-02-17,30,0,10,8688,7980,0.0001
2020-02-18,39,0,12,9741,8923,0.0009
2020-02-19,46,0,16,11122,9973,0.0007
2020-02-20,104,1,16,13098,11238,0.0058
2020-02-21,204,1,17,16196,13016,0.01
2020-02-22,433,3,18,21153,15116,0.0229
2020-02-23,608,6,18,22077,16038,0.0175
2020-02-24,843,7,22,31923,20292,0.0235
2020-02-25,977,10,22,35823,22550,0.0134
2020-02-26,1261,12,24,52292,31576,0.0284
2020-02-27,1766,13,26,64886,39318,0.0505
2020-02-28,2337,13,27,78830,48593,0.0571
2020-02-29,3150,17,28,90905,55723,0.0813
2020-03-01,3736,18,30,95185,61825,0.0586
2020-03-02,4212,22,31,105379,71580,0.0476
2020-03-03,4812,28,34,121039,85484,0.06
2020-03-04,5328,32,41,131379,102965,0.0516
2020-03-05,5766,35,88,140775,118965,0.0438
2020-03-06,6284,44,108,158456,136624,0.0518
2020-03-07,6767,44,118,171422,151802,0.0483
2020-03-08,7134,50,130,181384,162008,0.0367
